id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3
138,Boys and Girls,2000,628 Cole Street,,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
139,Boys and Girls,2000,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
140,Boys and Girls,2000,Aquatic Park (Jefferson Street),"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
141,Boys and Girls,2000,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
142,Boys and Girls,2000,Lombard Street,Lombard Street is not actually the crookedest in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
143,Boys and Girls,2000,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
144,Boys and Girls,2000,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
145,Boys and Girls,2000,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
146,Boys and Girls,2000,Fisherman's Wharf,"Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
147,Broken-A Modern Love Story ,2010,Ina Coolbrith Park (1700 Taylor Street),,RKW Films,,Ryan K. Whiting,Ryan K. Whiting,,,
148,Broken-A Modern Love Story ,2010,0-100 block Halleck Street,,RKW Films,,Ryan K. Whiting,Ryan K. Whiting,,,
149,Bullitt,1968,Caf̩ Cantata (2040 Union Street),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney
150,Bullitt,1968,Bayshore Blvd near Cesar Chavez (Bayview),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney
151,Bullitt,1968,Taylor & Vallejo Streets (Russian Hill),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Don Harvey
152,Bullitt,1968,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County. ,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,
153,Bullitt,1968,McClaren Park (Vistacon Valley),"McClaren Park is the 2nd largest park in San Francisco, after Golden Gate Park.","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,
154,Bullitt,1968,Mark Hopkins Hotel (999 California Street),The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Liz Phair
155,Bullitt,1968,Marina Green (Marina District),"Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition. ","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Danny Aiello
156,Bullitt,1968,Mansell & University Streets (Vistacon Valley),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Danny Aiello
157,Bullitt,1968,Larkin & Francisco Streets (Russian Hill),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Danny Aiello
158,Bullitt,1968,Larkin & Chestnut Streets (Russian Hill),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,
159,Bullitt,1968,Kennedy Hotel (226 Embarcadero at Howard Street),Hotel was destroyed in the 1989 Loma Prieta earthquake. Corporate headquarters for the Gap reside at the location today.,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Colin Friels
160,Bullitt,1968,John Muir Drive (Lake Merced),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Colin Friels
161,Bullitt,1968,Intersection of York & Peralta (Bernal Heights),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Colin Friels
162,Bullitt,1968,Filbert & Taylor Streets (Russian Hill),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Suzi Mandell
163,Bullitt,1968,Enrico's Caf̩ (504 Broadway),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Samantha Weaver
164,Bullitt,1968,Columbus & Lombard Streets (North Beach),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney
165,Bullitt,1968,Cesar Chavez & Mission Street (Mission),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney
166,Bullitt,1968,"Candlestick Park Exit, Highway 101",,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney
167,Bullitt,1968,Brocklebank Apartments (1000 Mason Street),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney
168,Bullitt,1968,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugene Cardinal Pacelli, who later became Pope Pius XII. ","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,
169,Bullitt,1968,2700 Vallejo Street (Pacific Heights),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,
170,Bullitt,1968,20th & Vermont Streets (Potrero Hill),The crookedest street in San Fransisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Luther Adler
171,Bullitt,1968,1153-57 Taylor Street,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Luther Adler
172,Burglar,1987,California Academy of Sciences (Golden Gate Park),"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoppi Goldberg,Bobcat Goldwait,Luther Adler
173,Burglar,1987,1400 18th Street,,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoppi Goldberg,Bobcat Goldwait,Luther Adler
174,Burglar,1987,1627 Haight Street,,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoppi Goldberg,Bobcat Goldwait,Luther Adler
175,Burglar,1987,Green Valley Restaurant (510 Green Street Near Grant),,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoppi Goldberg,Bobcat Goldwait,Luther Adler
176,By Hook or By Crook,2001,"Department of Public Health (101 Grove Street at Polk, Civic Center)",,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,Luther Adler
177,By Hook or By Crook,2001,"Royan Hotel (405 Valencia Street, Mission District)",,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,Luther Adler
178,By Hook or By Crook,2001,The Lexington Club (3464 19th Street at Lexington),,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,Luther Adler
179,Can't Stop the Music,1980,101 Henry Adams Place,,EMI Films,Associated Film Distribution (AFD),Nancy Walker,Allan Carr,,,
180,Casualties of War,1989,Mission Delores Park (Mission District) via J-Church MUNI Train,"The two land plots that comprise the Park were used as a Jewish cemetary until 1894 when San Francisco prohibited all burials within city limits.The graves were moved to Colma, CA.",Columbia Pictures Corporation,Columbia Pictures,Brian DePalma,Daniel Lang,Michael J. Fox,Sean Penn,
181,Chan is Missing,1982,"Li Po (916 Grant Avenue at Washington, Chinatown)",,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,,,
182,Chan is Missing,1982,Golden Dragon Restaurant (816 Washington Street at Grant),,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,,,
183,Cherish,2002,387 Fair Oaks at 25th Street,,3 Ring Circus Films,Fine Line Features,Finn Taylor,Finn Taylor,Brad Hunt,Robin Tunney,Brian Cox
184,Chu Chu and the Philly Flash,1981,22nd and Carolina Streets (Potrero Hill),,Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Henry Barrow,Alan Arkin,Carol Burnett,
185,Chu Chu and the Philly Flash,1981,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Henry Barrow,Alan Arkin,Carol Burnett,
186,Chu Chu and the Philly Flash,1981,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Henry Barrow,Alan Arkin,Carol Burnett,
187,City of Angels,1998,San Francisco Public Library Main Branch (100 Larkin Street),,Atlas Entertainment,Warner Bros. Pictures,Brad Silberling,Dana Stevens,Nicholas Cage,Meg Ryan,
188,Class Action,1991,Bix Restaurant (56 Gold Street),,Interscope Communications,Twientieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,
189,Class Action,1991,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Interscope Communications,Twientieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,
190,Class Action,1991,"Mission Delores (3321 16th Street, Mision District)","Mission Delores' official name is Mission San Francisco de Asis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.",Interscope Communications,Twientieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,
191,Common Threads: Stories From the Quilt,1989,The Castro,"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",Home Box Office (HBO),Direct Cinema Limited,Rob Epstein,Jeffrey Friedman,Sara Lewinstein,David Mandell,
192,Confessions of a Burning Man,2003,,,Hotbed Media,Windline Films,Paul Barnett,N/A,Kevin Epps,Anna Getty,
193,Copycat,1995,Twin Peaks,"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area ""called the area ���Los Pechos de la Chola�۝ or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,
194,Copycat,1995,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,
195,Copycat,1995,Sound Factory (1st and Harrison Streets),,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,
196,Copycat,1995,"Java House (Pier 40, Embarcadero)",,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,
197,Copycat,1995,Alta Plaza Park,The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,
198,Copycat,1995,82 & 67 Rico Way (Marina District),,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,
199,Crackers,1984,24th Street between Mission Street and Potrero Avenue,,Universal Pictures,Universal Pictures,Louis Malle,Jeffrey Fiskin,Donald Sutherland,Sean Penn,
200,Crackers,1984,La Rondalla (Valencia and 20th Streets),,Universal Pictures,Universal Pictures,Louis Malle,Jeffrey Fiskin,Donald Sutherland,Sean Penn,
201,CSI: NY- episode 903,2012,Palace of Fine Arts,,CBS Television Studios,Columbia Broadcasting System,Vikki Williams,Anthony E. Zuiker,Gary Sinise,Sela Ward,Carmine Giovinazzo
202,Dark Passage,1947,"Filbert Steps, Filbert Street",,Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Raven-Symone
203,Dark Passage,1947,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Rob Schneider
204,Dark Passage,1947,The Malloch Apartment Building (1360 Montgomery Street),,Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Bruno Campos
205,Dawn of the Planet of the Apes,2014,California & Powell ,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis
206,Dawn of the Planet of the Apes,2014,Alioto Park,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis
207,Dawn of the Planet of the Apes,2014,Columbus & Pacific Ave,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis
208,Dawn of the Planet of the Apes,2014,University Club,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis
209,Dawn of the Planet of the Apes,2014,Filbert St. from Hyde to Leavenworth,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis
210,Dawn of the Planet of the Apes,2014,California St from Mason to Kearny,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis
211,Dawn of the Planet of the Apes,2014,City Hall,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis
212,Days of Wine and Roses,1962,,,Warner Bros. Pictures,Warner Bros. Pictures,Blake Edwards,JP Miller,Jack Lemmon,Lee Remick,Raven-Symone
213,Desperate Measures,1998,,,Mandalay Entertainment,TriStar Pictures,Barbet Schroeder,David Klass,Michael Keaton,Andy Garcia,Raven-Symone
214,Dim Sum: A Little Bit of Heart,1986,San Francisco International Airport,SFO has a museum dedicated to aviation history. ,CIM,Orion Classics,Wayne Wang,Terrel Seltzer,,,Raven-Symone
215,Dim Sum: A Little Bit of Heart,1986,"Li Po (916 Grant Avenue at Washington, Chinatown)",,CIM,Orion Classics,Wayne Wang,Terrel Seltzer,,,Raven-Symone
216,Dim Sum: A Little Bit of Heart,1986,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",CIM,Orion Classics,Wayne Wang,Terrel Seltzer,,,
217,Dirty Harry,1971,Mission Delores Park (Mission District),"The two land plots that comprise the Park were used as a Jewish cemetary until 1894 when San Francisco prohibited all burials within city limits.The graves were moved to Colma, CA.",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,,Woody Harrelson
218,Dirty Harry,1971,"Marina Green, Marina District","Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition. ",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,,Woody Harrelson
219,Dirty Harry,1971,"Washington Square, North Beach",,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,,
220,Dirty Harry,1971,The Embarcadero,,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,,Cathy Moriarty
221,Dirty Harry,1971,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,,Cathy Moriarty
